rank,image_id,image_path,vgg16_confidence
1,p08_s14,data/raw/p08_s14.png,96.3410711685816
2,p04_s23,data/raw/p04_s23.png,93.44316862772176
3,6_1,data/raw/6_1.png,90.96500890736948
4,p03_s07,data/raw/p03_s07.png,90.27001822787108
5,p04_s12,data/raw/p04_s12.png,90.09928874923811
6,p7_seed8,data/raw/p7_seed8.jpg,88.91036636818983
7,5_8,data/raw/5_8.png,88.36969819822517
8,5_0,data/raw/5_0.png,88.31372635993547
9,5_29,data/raw/5_29.png,87.45063610828174
10,p00_s08,data/raw/p00_s08.png,87.42528709818296
11,p03_s06,data/raw/p03_s06.png,87.23172864018218
12,p04_s11,data/raw/p04_s11.png,87.20763925235302
13,p00_s12,data/raw/p00_s12.png,87.18942360581413
14,p7_seed21,data/raw/p7_seed21.jpg,86.673807632127
15,p08_s10,data/raw/p08_s10.png,86.602973249223
16,5_5,data/raw/5_5.png,86.2827988976172
17,p06_s04,data/raw/p06_s04.png,85.99432060947505
18,p7_seed24,data/raw/p7_seed24.jpg,85.96969746098577
19,p7_seed4,data/raw/p7_seed4.jpg,85.91597224953885
20,p08_s18,data/raw/p08_s18.png,85.90963132021783
21,p09_s19,data/raw/p09_s19.png,85.85690149527655
22,p8_seed1,data/raw/p8_seed1.jpg,85.45345221502667
23,p03_s18,data/raw/p03_s18.png,85.35028592750231
24,5_13,data/raw/5_13.png,85.31122081333147
25,p00_s09,data/raw/p00_s09.png,84.93113653758854
26,p00_s24,data/raw/p00_s24.png,84.802816444434
27,p07_s05,data/raw/p07_s05.png,84.7992034695945
28,p00_s13,data/raw/p00_s13.png,84.75000960604451
29,p00_s20,data/raw/p00_s20.png,84.35620758119649
30,p08_s00,data/raw/p08_s00.png,84.1979311674218
31,p7_seed6,data/raw/p7_seed6.jpg,83.70461114005239
32,p04_s13,data/raw/p04_s13.png,83.48077288430429
33,p04_s19,data/raw/p04_s19.png,83.3984995784825
34,p03_s20,data/raw/p03_s20.png,83.38339121466423
35,p03_s12,data/raw/p03_s12.png,83.29676753982183
36,p06_s24,data/raw/p06_s24.png,83.10897076866546
37,p08_s22,data/raw/p08_s22.png,82.75707299413388
38,p9_seed25,data/raw/p9_seed25.jpg,82.75511801822827
39,p08_s24,data/raw/p08_s24.png,82.66287042751526
40,p08_s27,data/raw/p08_s27.png,82.3548675089619
41,p9_seed10,data/raw/p9_seed10.jpg,82.32584286097695
42,5_22,data/raw/5_22.png,82.32282659606925
43,p07_s18,data/raw/p07_s18.png,82.1225171982446
44,p00_s06,data/raw/p00_s06.png,82.05512872544907
45,5_2,data/raw/5_2.png,81.89805159261662
46,4_26,data/raw/4_26.png,81.66368496870535
47,p03_s08,data/raw/p03_s08.png,81.65693056104502
48,6_2,data/raw/6_2.png,81.5450755459034
49,p08_s26,data/raw/p08_s26.png,81.47676825118863
50,p04_s26,data/raw/p04_s26.png,81.30244439182219
51,7_16,data/raw/7_16.png,81.16436243057251
52,5_21,data/raw/5_21.png,81.05869909952219
53,p08_s04,data/raw/p08_s04.png,80.9058833326668
54,p09_s05,data/raw/p09_s05.png,80.89811089562632
55,p08_s13,data/raw/p08_s13.png,80.79555333253023
56,p9_seed1,data/raw/p9_seed1.jpg,80.7241035734001
57,p07_s02,data/raw/p07_s02.png,80.6968800317002
58,p03_s19,data/raw/p03_s19.png,80.56497605959085
59,5_19,data/raw/5_19.png,80.53817186607594
60,p9_seed7,data/raw/p9_seed7.jpg,80.06314883607912
61,4_28,data/raw/4_28.png,79.78807825190164
62,p06_s28,data/raw/p06_s28.png,79.70573393130213
63,p00_s27,data/raw/p00_s27.png,79.69962495167992
64,7_15,data/raw/7_15.png,79.67776181200479
65,p09_s18,data/raw/p09_s18.png,79.49853814327966
66,p09_s24,data/raw/p09_s24.png,79.48514171054052
67,p8_seed13,data/raw/p8_seed13.jpg,79.4563915678715
68,p9_seed28,data/raw/p9_seed28.jpg,79.4079736229925
69,p09_s25,data/raw/p09_s25.png,79.30106392967096
70,p03_s11,data/raw/p03_s11.png,79.27159700295644
71,p05_s23,data/raw/p05_s23.png,79.17439224719752
72,5_9,data/raw/5_9.png,79.08270722750824
73,p08_s02,data/raw/p08_s02.png,78.78853036124397
74,p04_s00,data/raw/p04_s00.png,78.7883828772308
75,p03_s27,data/raw/p03_s27.png,78.78437119500992
76,p07_s07,data/raw/p07_s07.png,78.70562105975229
77,p07_s24,data/raw/p07_s24.png,78.63362577160377
78,p04_s24,data/raw/p04_s24.png,78.5816057803028
79,p07_s21,data/raw/p07_s21.png,78.55651134005333
80,p01_s18,data/raw/p01_s18.png,78.55052413800296
81,p07_s23,data/raw/p07_s23.png,78.49387870114747
82,p03_s05,data/raw/p03_s05.png,78.23464347986025
83,p04_s14,data/raw/p04_s14.png,78.1929051008308
84,5_1,data/raw/5_1.png,78.18446445115633
85,p03_s26,data/raw/p03_s26.png,78.09782139624701
86,5_18,data/raw/5_18.png,77.93980266287278
87,p06_s27,data/raw/p06_s27.png,77.91168947258267
88,p04_s27,data/raw/p04_s27.png,77.74568212504855
89,p07_s13,data/raw/p07_s13.png,77.71177606176153
90,5_25,data/raw/5_25.png,77.5970887073665
91,p00_s10,data/raw/p00_s10.png,77.28703467563635
92,p09_s16,data/raw/p09_s16.png,77.27828200998344
93,p06_s05,data/raw/p06_s05.png,76.95266689492345
94,p04_s28,data/raw/p04_s28.png,76.86444846281009
95,p04_s18,data/raw/p04_s18.png,76.78963549732254
96,p09_s28,data/raw/p09_s28.png,76.7344688937478
97,p03_s00,data/raw/p03_s00.png,76.53828000484135
98,p8_seed22,data/raw/p8_seed22.jpg,76.45915851896774
99,p00_s11,data/raw/p00_s11.png,76.26603541212401
100,p08_s20,data/raw/p08_s20.png,76.12692692465119
